0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:28 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:28 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:28 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:29 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:30 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:30 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:30 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:30 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:30 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:30 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:30 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:30 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:11:32 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:01 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:01 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:01 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:02 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:02 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:02 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:03 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:03 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:03 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:04 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:04 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:04 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:06 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:06 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:06 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:12:08 +0200] "POST /Oblig1/Statistics HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:22 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:22 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:22 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:24 +0200] "GET /Oblig1/oppgave05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:24 +0200] "GET /Oblig1/js/oppgave05.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2015:22:14:24 +0200] "GET /Oblig1/js/ajax/ajax.js HTTP/1.1" 304 -
